Date/Time,Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1:Zone Other Equipment Total Heating Rate [W](Hourly),BLOCK1:ZONE1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),BLOCK1:ZONE1_WALL_E:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_N:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_W:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_FLOOR:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S_WIN_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S_WIN_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1:Zone Mean Air Temperature [C](Hourly:ON),BLOCK1:ZONE1:Zone Infiltration Air Change Rate [ach](Hourly),BLOCK1:ZONE1:Zone Air System Sensible Heating Rate [W](Hourly),BLOCK1:ZONE1:Zone Air System Sensible Cooling Rate [W](Hourly),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 07/15  17:00:00,39.0,668.25,200.0,477.94094979054537,61.88644237211338,123.55199749807201,669.3785502678732,61.88644237211338,72.47620234288496,364.4186117281406,61.88644237211338,61.88644237211338,27.0,0.4962202549014062,0.0,1461.685212937744,720000.0,5262066.766575878,0.0,0.0 
 07/15  18:00:00,51.25,397.75,200.0,336.145403182166,43.5259693311499,152.83295275716189,477.16206665485029,43.5259693311499,34.92917952962576,176.11015209428724,43.5259693311499,43.5259693311499,27.0,0.4971814882306452,0.0,1178.5608337667,720000.0,4242819.001560118,0.0,0.0 
 07/15  19:00:00,39.25,72.75,200.0,174.13307240949337,22.547715058673846,63.28736400742798,119.70404667770757,22.547715058673846,9.710743306419016,48.88242049503175,22.547715058673846,22.547715058673846,27.0,0.5006916340178187,0.0,768.1334354184946,720000.0,2765280.3675065806,0.0,0.0 
 07/15  20:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.5051456276003179,0.0,331.0670247110629,720000.0,1191841.2889598266,0.0,0.0 
 07/15  21:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.950533797316898,0.5083362103117015,0.0,43.608913150867007,720000.0,156992.08734312125,0.0,0.0 
 07/15  22:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.273463597069737,0.5090827230398946,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/15  23:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.249234407880864,0.5097308672394632,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/15  24:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32063970771181,0.5095708187821522,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/16  01:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.450090849313598,0.5089567018046295,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/16  02:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.607439993343097,0.5083770951647344,0.0,0.0,720000.0,0.0,0.0,0.0 
