Date/Time,BLOCK1:ZONEA:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEB:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEC:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEA:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEA:Zone Air System Sensible Cooling Energy [J](Hourly),BLOCK1:ZONEB:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEB:Zone Air System Sensible Cooling Energy [J](Hourly),BLOCK1:ZONEC:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEC:Zone Air System Sensible Cooling Energy [J](Hourly) 
 06/03  07:00:00,27.51975379434761,21.661006023914959,15.0,0.0,0.0,0.0,0.0,0.0,630291.4723001801 
 06/03  08:00:00,27.943574539933154,21.91039380937723,15.0,0.0,0.0,0.0,0.0,0.0,878823.1478911106 
 06/03  09:00:00,29.047416500465635,22.53573404571975,15.0,0.0,0.0,0.0,0.0,0.0,1345492.2636780344 
 06/03  10:00:00,30.585483566048077,23.336048215087116,15.0,0.0,0.0,0.0,0.0,0.0,1873979.8373881016 
 06/03  11:00:00,32.30236932365376,24.195364371334123,15.0,0.0,0.0,0.0,0.0,0.0,2694882.398136204 
 06/03  12:00:00,34.14156334257347,25.120065451206569,15.0,0.0,0.0,0.0,0.0,0.0,3718919.7820202747 
 06/03  13:00:00,35.972430702737,26.048283807497137,15.0,0.0,0.0,0.0,0.0,0.0,4734998.185486683 
 06/03  14:00:00,37.559057976199458,26.85118882776908,15.0,0.0,0.0,0.0,0.0,0.0,5481004.404972008 
 06/03  15:00:00,38.913002466733008,27.53677796078039,15.0,0.0,0.0,0.0,0.0,0.0,6058424.364372438 
 06/03  16:00:00,39.990600537689989,28.101375863036148,15.000000000000002,0.0,0.0,0.0,0.0,0.0,6439808.96566008 
 06/03  17:00:00,40.58191138684266,28.48266730803629,15.0,0.0,0.0,0.0,0.0,0.0,6489576.409856839 
 06/03  18:00:00,40.77925011184718,28.72095556030312,15.0,0.0,0.0,0.0,0.0,0.0,6350750.667090638 
 06/03  19:00:00,40.72321225705986,28.828742261522096,15.0,0.0,0.0,0.0,0.0,0.0,6144981.556699908 
 06/03  20:00:00,40.521220749371817,28.82519231137677,15.0,0.0,0.0,0.0,0.0,0.0,5925351.018432956 
 06/03  21:00:00,40.236680381474219,28.750663683281006,15.000000000000004,0.0,0.0,0.0,0.0,0.0,5707396.81458205 
 06/03  22:00:00,39.666076115499638,28.531092357804228,15.0,0.0,0.0,0.0,0.0,0.0,5330017.486531485 
 06/03  23:00:00,38.32459331955404,27.905800638801997,15.0,0.0,0.0,0.0,0.0,0.0,4582339.434263529 
 06/03  24:00:00,36.292869414907269,26.84103482483818,15.0,0.0,0.0,0.0,0.0,0.0,3703790.8513128405 
 06/04  01:00:00,34.03753926394159,25.57674221536554,15.0,0.0,0.0,0.0,0.0,0.0,2808537.907628307 
 06/04  02:00:00,32.09545548497849,24.44337444314059,15.0,0.0,0.0,0.0,0.0,0.0,2140162.681913686 
 06/04  03:00:00,30.41655569338711,23.44138922469992,15.0,0.0,0.0,0.0,0.0,0.0,1685004.7143848588 
 06/04  04:00:00,28.970848355534764,22.56217024601683,15.0,0.0,0.0,0.0,0.0,0.0,1096963.904522764 
 06/04  05:00:00,27.879821915891946,21.887175495299876,15.0,0.0,0.0,0.0,0.0,0.0,611736.4686042565 
 06/04  06:00:00,27.07129960715159,21.38215900657365,15.0,0.0,0.0,0.0,0.0,0.0,267033.66538939726 
 06/04  07:00:00,26.584840791237466,21.074186301669664,15.0,0.0,0.0,0.0,0.0,0.0,129350.98752090802 
 06/04  08:00:00,26.77291315492801,21.19217753558526,15.0,0.0,0.0,0.0,0.0,0.0,372382.1129580379 
 06/04  09:00:00,27.433987181301043,21.59971361513095,15.000000000000002,0.0,0.0,0.0,0.0,0.0,733707.2374290498 
 06/04  10:00:00,28.261308161154216,22.10383149613402,15.0,0.0,0.0,0.0,0.0,0.0,1081570.7307851844 
 06/04  11:00:00,28.777472601852954,22.425306636542638,15.0,0.0,0.0,0.0,0.0,0.0,1270414.4113453585 
 06/04  12:00:00,29.011411103004055,22.572828160242695,15.0,0.0,0.0,0.0,0.0,0.0,1360712.8515695027 
 06/04  13:00:00,29.24022954815824,22.70688888782768,15.0,0.0,0.0,0.0,0.0,0.0,1436505.952069981 
 06/04  14:00:00,29.975457075838876,23.12400646768926,15.0,0.0,0.0,0.0,0.0,0.0,1606139.100690194 
 06/04  15:00:00,31.098513595462256,23.72887315233719,15.0,0.0,0.0,0.0,0.0,0.0,1997025.5826877086 
 06/04  16:00:00,32.403569994991858,24.40393726915783,15.0,0.0,0.0,0.0,0.0,0.0,2571763.909672398 
 06/04  17:00:00,33.47913837036839,25.002094620693947,15.0,0.0,0.0,0.0,0.0,0.0,3030366.3239115125 
 06/04  18:00:00,34.31346296591254,25.488240137541444,14.999999999999999,0.0,0.0,0.0,0.0,0.0,3363654.2420578759 
 06/04  19:00:00,34.830923339485888,25.819496778173165,15.000000000000002,0.0,0.0,0.0,0.0,0.0,3510711.5856077668 
 06/04  20:00:00,34.60790854142634,25.768508950326493,15.0,0.0,0.0,0.0,0.0,0.0,3291432.184970631 
 06/04  21:00:00,33.77798562939648,25.35406694887518,15.0,0.0,0.0,0.0,0.0,0.0,2909789.5800856368 
 06/04  22:00:00,32.6742782602984,24.746735932420657,15.0,0.0,0.0,0.0,0.0,0.0,2491901.65274969 
 06/04  23:00:00,31.775384804460363,24.229066662642283,15.0,0.0,0.0,0.0,0.0,0.0,2178075.4814708649 
 06/04  24:00:00,31.060065495950128,23.80918884759772,15.000000000000002,0.0,0.0,0.0,0.0,0.0,1951448.7278333065 
